GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Tcof1_3	3473	1096	3.233e-01	5.231e+00	5.032e+00	1.294e+00	-2.275e-01	1.000e+00	1.000e+00
Tctex1d2_3	2819	437	2.143e-01	5.902e+00	3.207e+00	3.081e+00	5.771e-01	2.827e-01	5.087e-01
Tdp2_3	3093	712	3.910e-01	3.408e+00	4.944e+00	5.551e+00	2.373e+00	2.936e-02	1.394e-01
Tdrd3_4	2564	885	4.135e-01	5.221e+00	4.177e+00	9.071e-01	-1.349e-01	1.000e+00	1.000e+00
Tecr_6	60594	16478	9.962e-01	-9.714e-01	1.463e+00	-2.289e+00	2.188e+01	3.716e-11	2.495e-09
Telo2_4	6357	2076	3.722e-01	3.483e+00	5.894e+00	1.248e-02	-3.042e-01	1.000e+00	1.000e+00
Ten1_2	17670	3071	5.902e-01	3.446e+00	3.686e+00	1.952e+00	4.336e-01	3.517e-01	5.731e-01
Tenm2_4	5403	1424	3.346e-01	-1.557e+00	4.584e+00	4.243e+00	3.362e+00	9.512e-03	6.364e-02
Tex264_4	8368	4814	4.436e-01	4.004e+00	5.218e+00	3.874e+00	9.663e-01	1.645e-01	3.855e-01
Tfcp2_3	4827	1871	3.947e-01	5.298e+00	4.627e+00	1.755e+00	-1.719e-01	1.000e+00	1.000e+00
Tfdp1_nmdSE_1	5271	697	5.188e-01	-7.536e+00	4.294e+00	-7.076e-01	4.656e-01	3.346e-01	5.620e-01
Tfe3_1	3509	780	3.534e-01	4.410e+00	4.632e+00	-7.998e-01	-6.842e-01	1.000e+00	1.000e+00
Tfg_3	43018	2911	8.233e-01	-3.909e+00	3.003e+00	1.559e+00	2.488e+00	2.569e-02	1.290e-01
Tfrc_1	4778	1736	4.624e-01	5.743e+00	3.524e+00	3.302e-01	3.723e-01	3.882e-01	6.041e-01
Tfrc_2	2245	1263	3.684e-01	7.356e+00	3.363e+00	1.598e+00	3.381e-01	4.109e-01	6.209e-01
Thap2_1	20068	1842	5.038e-01	2.325e+00	7.113e+00	-2.078e+00	7.427e-01	2.229e-01	4.478e-01
Thap3_2	6604	889	2.857e-01	1.864e+00	6.475e+00	-1.358e+00	-2.021e-01	1.000e+00	1.000e+00
Thap7_3	14073	1678	5.113e-01	6.320e-01	5.798e+00	2.585e+00	6.797e-01	2.436e-01	4.650e-01
Thap7_7	16102	2193	5.113e-01	1.282e+00	6.510e+00	1.294e+00	5.322e-02	7.442e-01	9.656e-01
Thoc5_5	4652	923	5.414e-01	-3.337e+00	5.005e+00	2.754e-02	-1.655e-01	1.000e+00	1.000e+00
Thrap3_nmdSE_1	5478	796	7.068e-01	-8.078e+00	3.052e+00	-9.203e-01	2.642e-01	4.673e-01	6.737e-01
Thrap3_13	3884	1312	7.932e-01	-1.487e-01	4.462e+00	1.620e+00	-5.000e-01	1.000e+00	1.000e+00
Thyn1_1	8576	2615	6.015e-01	4.951e-01	5.163e+00	2.977e+00	5.054e-01	3.147e-01	5.408e-01
Tia1_5	6223	1981	8.534e-01	4.115e+00	3.233e+00	-2.731e+00	2.580e+00	2.311e-02	1.199e-01
Tia1_nmdSE_2	7443	2202	8.722e-01	-3.579e+00	3.589e+00	1.223e+00	2.334e+00	3.073e-02	1.416e-01
Timm10b_1	26869	5010	8.985e-01	6.607e+00	3.746e+00	-1.425e+00	5.938e-01	2.758e-01	5.025e-01
Timm22_2	12139	6751	5.451e-01	7.672e+00	4.056e+00	6.683e-02	8.613e-01	1.894e-01	4.164e-01
Timm9_4	3835	1736	4.962e-01	5.111e+00	4.278e+00	2.344e+00	3.442e-02	7.930e-01	1.000e+00
Tipin_3	3856	984	2.444e-01	6.952e+00	3.219e+00	-1.958e+00	7.314e-01	2.265e-01	4.520e-01
Tk2_2	4432	1510	5.752e-01	5.335e-01	5.810e+00	1.925e+00	5.620e-01	2.891e-01	5.153e-01
Tlk1_6	1289	505	3.158e-01	-1.732e+00	5.005e+00	2.265e+00	7.950e-01	2.073e-01	4.364e-01
Tm2d3_2	11320	1615	6.241e-01	-3.885e+00	3.368e+00	-1.146e+00	4.937e-01	3.204e-01	5.448e-01
Tm2d3_3	11165	1460	6.241e-01	-3.785e+00	3.045e+00	-1.033e+00	7.173e-01	2.310e-01	4.553e-01
Tmco3_4	4014	745	4.098e-01	-8.135e+00	4.021e+00	4.222e+00	3.872e+00	5.390e-03	4.070e-02
Tmed1_1	8693	2913	4.398e-01	6.267e+00	4.469e+00	2.730e+00	1.306e+00	1.060e-01	3.090e-01
Tmed8_1	2142	740	2.895e-01	1.572e+00	4.603e+00	7.378e+00	5.223e+00	1.230e-03	1.306e-02
Tmem11_1	26695	1009	6.203e-01	-8.250e+00	3.429e+00	2.617e-01	7.061e-01	2.347e-01	4.592e-01
Tmem134_2	2798	849	4.211e-01	-5.932e+00	5.435e+00	-2.138e+00	3.625e-01	3.945e-01	6.088e-01
Tmem135_1	1949	634	3.496e-01	5.102e+00	5.094e+00	8.079e-01	8.569e-02	6.789e-01	9.001e-01
Tmem14c_1	6791	3076	6.880e-01	3.975e+00	4.769e+00	2.770e+00	7.354e-01	2.252e-01	4.508e-01
Tmem161a_11	1587	919	2.632e-01	5.497e+00	3.512e+00	3.501e+00	9.449e-01	1.692e-01	3.921e-01
Tmem161b_1	1960	1204	2.556e-01	4.323e+00	6.273e+00	2.614e-01	-8.423e-02	1.000e+00	1.000e+00
