,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,cell_type,subtissue,sex
SRR6531746,12843.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531747,34602.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531749,32969.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531750,208308.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531751,200691.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531754,239639.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531755,224106.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531756,251297.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531757,240615.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531758,225325.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531760,213730.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531761,189857.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531762,180557.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531763,19393.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531764,15961.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531765,157412.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531766,142287.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531767,117028.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531768,104369.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531769,103719.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531772,92119.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531775,141678.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531776,127022.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531777,14781.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531778,13298.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531779,401821.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531780,363232.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531781,467606.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531782,789272.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Hippocampus,F
SRR6531783,425302.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531784,68578.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531785,61222.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531786,226033.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531787,201915.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531788,42449.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531789,38337.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531790,54675.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531791,48429.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531792,46416.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531793,840822.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Hippocampus,F
SRR6531794,41663.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531795,223523.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531796,197648.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531797,184560.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531798,171508.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531799,278870.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531800,250045.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531801,82986.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531802,76484.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531803,52933.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531805,47065.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531806,213612.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531807,193212.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531808,368679.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531809,331277.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531812,40527.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531813,38109.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531817,178869.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531818,160920.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531819,51568.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531820,42695.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531821,124882.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531822,113345.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531823,47089.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531824,42988.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531825,120099.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531828,104576.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531829,120091.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531830,110951.0,0,0,10.968420028686523,1.2601511478424072,neuron,Cortex,F
SRR6531831,37488.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531832,33948.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531833,162609.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531834,143949.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531836,75635.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531837,66157.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531838,66722.0,0,0,10.968420028686523,1.2601511478424072,brain pericyte,Cortex,F
SRR6531840,60136.0,0,0,10.968420028686523,1.2601511478424072,brain pericyte,Cortex,F
SRR6531846,131795.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531847,116528.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531848,342774.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
