GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Srsf9_nmdSE_2	12938	1804	5.394e-01	-5.746e+00	5.002e+00	2.742e+00	6.375e+00	3.562e-04	2.031e-03
Ssbp2_5	22669	8675	7.905e-01	7.228e-01	3.445e+00	4.552e-01	-1.047e+00	1.000e+00	1.000e+00
Ssbp3_3	4059	1681	4.336e-01	5.726e+00	4.619e+00	-4.803e+00	1.461e+01	6.437e-08	9.973e-07
Ssbp4_5	11877	4334	7.614e-01	8.732e+00	2.860e+00	-5.857e+00	4.262e+01	2.637e-20	1.244e-18
St7_2	8617	2717	5.996e-01	4.815e+00	3.931e+00	9.518e-01	-7.227e-02	1.000e+00	1.000e+00
St7_10	7280	2497	5.207e-01	-4.826e+00	5.758e+00	2.154e+00	1.763e+00	6.044e-02	1.304e-01
St7l_8	3831	595	2.905e-01	-7.568e+00	3.826e+00	1.189e+00	8.054e-01	2.044e-01	3.224e-01
Stag2_1	4329	1047	3.154e-01	6.113e-01	5.163e+00	8.297e-01	1.404e-01	5.962e-01	7.556e-01
Stau2_8	11017	2195	7.552e-01	-4.617e+00	3.861e+00	-1.309e-01	8.813e-01	1.843e-01	2.996e-01
Stk16_3	19601	7298	6.909e-01	6.733e+00	2.876e+00	-1.203e+00	1.470e+00	8.644e-02	1.714e-01
Stk38_5	6376	2256	4.917e-01	4.792e+00	3.849e+00	-2.144e+00	3.079e+00	1.309e-02	3.827e-02
Stmn4_1	64895	20976	9.440e-01	-2.111e+00	1.458e+00	5.672e-01	6.992e+00	1.843e-04	1.139e-03
Stmn4_2	158548	11325	9.585e-01	-2.661e+00	1.574e+00	2.047e-01	-1.289e-01	1.000e+00	1.000e+00
Stoml2_5	14593	6184	6.929e-01	4.560e+00	3.962e+00	-2.185e-01	-2.246e-02	1.000e+00	1.000e+00
Stra13_2	5610	3709	6.100e-01	-4.291e+00	6.295e+00	2.760e+00	5.672e+00	7.570e-04	3.871e-03
