mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Tnfrsf8,17170.0,True,1181.0,32.517361111111114,14230.410847367402,1.3475412156153574,3
Cpt2,20158.0,True,1753.0,32.458333333333336,7539.315331010453,1.3658951688860679,5
0610037L13Rik,138272.0,True,2472.5,108.45486111111111,31654.743599980644,1.1073053179208616,2
Cyb5rl,8614.0,True,1203.0,10.010416666666666,1859.215918989547,1.062504193757404,2
Col9a2,93227.0,True,1860.0,23.06597222222222,2488.8701969608983,1.1530423333034143,3
Dyrk2,21345.0,True,1423.0,12.17013888888889,1024.4413351722803,0.8175554907958867,1
Ermap,945.0,True,2451.0,0.875,85.12717770034844,0.9116943402376089,1
Slc2a1,57632.0,True,2639.5,71.27777777777777,14368.647309330236,1.465500965668137,6
Rragc,58783.0,True,2719.5,80.23263888888889,15241.670429248934,1.3227032494979698,6
Mfsd2a,13784.0,True,870.0,4.232638888888889,608.7435999806427,1.1531364382769198,3
Rnf220,164487.0,True,2578.0,233.74305555555554,59412.93723383662,1.297214823446612,5
Kif2c,1133.0,True,1660.0,0.4444444444444444,56.888888888888886,1.0655386365777848,1
Ptch2,32691.0,True,1837.5,7.239583333333333,862.47550087108,1.3667782357532996,4
Eif2b3,92785.0,True,1847.0,75.81597222222223,10006.067061072396,0.9956290828483286,1
Mutyh,12074.0,True,2378.5,7.583333333333333,1089.198606271777,1.2583543112780957,4
Nasp,206133.0,True,2739.0,40.62152777777778,4537.107130758807,1.054523096092286,2
Ipp,15966.0,True,1877.0,13.152777777777779,1354.1716995741385,1.1387195973604871,3
Pik3r3,293439.0,True,1760.0,153.58680555555554,50674.21543505614,1.3728544981166702,4
Rad54l,4254.0,True,1294.0,1.8368055555555556,115.69801345334882,1.0521110591103913,3
Mob3c,9336.0,True,2271.0,4.34375,759.3413545296166,1.2024054072302244,3
Cyp4b1,3730.0,True,1591.0,1.6111111111111112,337.29074719318623,1.2771239356274033,3
Vwa5b1,56454.0,True,724.0,102.67708333333333,26404.372713414632,1.6415866859467056,5
Kif17,25716.0,True,2353.0,38.767361111111114,7005.001439701895,1.1194200972529538,3
Ptpn12,29422.0,True,2645.0,26.93402777777778,5071.448594173442,1.0635224478410608,3
Hcrtr1,43212.0,True,1572.0,53.552083333333336,14144.192399825784,1.3297935520421438,4
Sema3c,8251.0,True,629.0,11.48611111111111,3676.0834301200152,1.7665421050627284,5
Hpca,204742.0,True,1687.0,411.05555555555554,123467.2094463802,1.117899064147913,3
Phc2,71881.0,True,1431.5,28.39236111111111,3996.8246104336044,1.173714890411304,2
CK137956,6226.0,True,1335.0,2.5590277777777777,189.94075445218738,0.8282895738884881,1
Sfpq,204442.0,True,1148.0,99.06597222222223,11723.337095915602,0.8925481562272969,1
AU040320,161632.0,True,2505.5,112.56597222222223,28305.04092866821,1.2283093203045847,4
Slc30a2,963.0,True,1497.0,2.361111111111111,361.33255903987606,0.9634535719684405,1
Cnksr1,340.0,True,1990.0,0.0,0.0,0.4134677228154198,1
Map3k6,1309.0,True,2043.0,2.076388888888889,143.32515485869143,0.8257416195170769,1
Gnl2,216835.0,True,2014.0,174.64236111111111,31808.509279423146,1.064984600031714,2
Cdca8,11653.0,True,2522.5,3.2708333333333335,356.81837979094075,1.0800501002171197,2
Epha10,195803.0,True,2649.5,145.37847222222223,37653.51131194347,1.3419645102722464,6
Sema3a,5281.0,True,2361.0,7.736111111111111,1541.7210607820364,1.2424811318487408,3
Rpa2,36323.0,True,2351.0,40.25,5108.348432055749,0.9981732190176485,2
Mtf1,28400.0,True,1359.0,26.69097222222222,2783.956433894696,0.8349062525397454,1
Inpp5b,65572.0,True,2642.5,62.15972222222222,13097.855933023615,1.207959319649997,4
Rcc1,47551.0,True,2553.0,27.79861111111111,3686.238046844754,1.0821069169711934,2
Ptpru,275305.0,True,1843.0,91.29861111111111,21704.955816879592,1.6163479146077773,6
Casp9,62261.0,True,1560.0,35.204861111111114,6454.128617402245,1.4079247240591188,5
Plekhm2,15124.0,True,1301.5,14.913194444444445,1751.4035883662407,1.1086532721960256,2
Necap2,48978.0,True,2659.5,27.4375,3071.18074912892,1.0386214334358985,2
Cdk14,717347.0,True,2145.5,793.3645833333334,344228.38577961666,1.213490842124859,4
Xrcc2,13512.0,True,947.0,22.854166666666668,4377.94381533101,1.4615119357524973,5
Tas1r1,7547.0,True,2032.0,6.940972222222222,401.17768825009676,1.0002952417597533,3
Zbtb48,36973.0,True,1968.0,31.461805555555557,3685.2737974254746,1.2848483246148317,5
Per3,31843.0,True,916.0,62.15277777777778,10894.345915602013,1.4672645674453264,4
Fastk,144456.0,True,2682.0,108.02777777777777,14866.298877274487,0.9063078789985312,1
Errfi1,73493.0,True,2512.0,90.42013888888889,19234.30718883082,1.3072170605785576,5
Abcb1b,1027.0,True,1650.0,0.84375,57.70023954703833,0.6643648943026245,1
