GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Naga_1	5035	2049	6.742e-01	3.925e+00	1.824e+00	2.938e-03	1.929e-01	5.345e-01	6.798e-01
Naga_2	9556	3658	7.029e-01	3.002e+00	3.031e+00	3.153e-03	-1.084e+00	1.000e+00	1.000e+00
Naga_3	9699	2397	7.070e-01	4.172e+00	6.313e-01	1.632e-03	-1.116e+00	1.000e+00	1.000e+00
Naglu_1	2027	496	2.520e-01	4.792e+00	1.485e+00	-8.175e-03	9.478e-01	1.686e-01	2.946e-01
Naglu_2	1772	646	2.398e-01	6.187e+00	1.519e+00	-9.852e-03	8.904e-01	1.821e-01	3.115e-01
Nap1l4_18	166965	5338	9.980e-01	-5.823e-01	8.671e-01	-4.629e-03	9.525e+00	1.273e-05	9.736e-05
Napg_4	2864	538	7.439e-01	-6.662e+00	3.391e+00	-2.797e-03	-3.055e-01	1.000e+00	1.000e+00
Nars2_1	2766	1050	5.922e-01	4.222e+00	1.827e+00	7.138e-03	3.683e-01	3.908e-01	5.435e-01
Nasp_5	190240	151344	9.959e-01	2.907e+00	1.485e+00	-2.302e-02	1.120e+02	1.272e-50	1.303e-47
Nav1_5	482	46	2.316e-01	-2.936e+00	5.619e-01	-8.053e-03	2.162e-01	5.108e-01	6.602e-01
Nav2_6	1842	542	2.992e-01	-2.435e-01	5.462e+00	1.826e-02	4.342e-01	3.514e-01	5.038e-01
Nbeal1_5	311	108	1.639e-01	1.529e+00	3.687e+00	-1.594e-02	6.311e-01	2.612e-01	4.076e-01
Nbeal1_8	612	137	2.008e-01	4.475e+00	1.438e+00	-1.647e-02	1.895e+00	5.156e-02	1.195e-01
Nbr1_7	5673	1716	8.361e-01	3.741e-02	1.773e+00	5.078e-03	3.257e+00	1.070e-02	3.461e-02
Nbr1_9	43396	3127	9.734e-01	1.251e+00	1.953e+00	3.828e-03	9.854e-01	1.604e-01	2.829e-01
Ncam1_3	1914	112	3.443e-01	3.709e+00	5.206e-01	-1.126e-03	-2.287e-01	1.000e+00	1.000e+00
Ncam1_4	83922	8247	7.254e-01	-8.003e+00	3.473e+00	3.816e-02	3.956e+01	5.865e-19	3.340e-17
Ncam1_5	3501	285	3.955e-01	5.259e+00	1.273e+00	-3.517e-02	3.074e+01	4.475e-15	1.434e-13
Ncam1_6	5016	551	4.283e-01	-3.887e+00	1.205e+00	1.438e-03	-3.218e-01	1.000e+00	1.000e+00
Ncapg2_3	1976	1142	5.164e-01	3.498e+00	2.798e+00	6.728e-03	-1.915e-01	1.000e+00	1.000e+00
Ncdn_1	1825	430	5.369e-01	1.103e+00	1.633e+00	1.568e-02	2.634e+00	2.173e-02	5.924e-02
Nckap1_5	1044	234	4.611e-01	-5.003e+00	6.984e-01	2.022e-02	1.070e+01	3.733e-06	3.215e-05
Nckipsd_1	1684	226	4.201e-01	-4.763e+00	2.197e+00	-6.986e-03	6.495e-01	2.544e-01	3.999e-01
Nckipsd_2	3850	2700	5.020e-01	4.843e+00	2.472e+00	-3.102e-03	-3.369e-02	1.000e+00	1.000e+00
Ncoa1_4	18068	432	7.316e-01	3.011e+00	4.403e+00	-2.856e-02	7.396e+00	1.200e-04	7.072e-04
Ncoa2_2	2175	768	4.775e-01	3.249e+00	1.936e+00	-2.863e-03	2.766e-01	4.570e-01	6.068e-01
