hgnc_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
DOC2GP,10249.0,True,2242.0,5.448697501329081,7498.990052823871,1.5945300182440771
MTHFD1P1,3057.0,True,3771.0,1.6251993620414673,2149.9567901862974,1.4184456347974284
DARS-AS1,10375.0,True,4374.0,5.515683147262094,19044.219567737848,1.369514706741742
CLCN3P1,3002.0,True,2071.0,1.595959595959596,1179.6132602621963,1.6204029006931235
LEF1-AS1,7217.0,True,3585.0,3.8367889420520997,8232.104730960216,1.435956995458591
LINC01105,205.0,True,2202.0,0.1089845826687932,10.387584127953668,1.601157563626095
HCFC2P1,4.0,True,4981.0,0.002126528442317916,0.004250794620335494,1.3278372863275414
BACH1-AS1,530.0,True,1926.0,0.2817650186071239,77.52269390432883,1.64490192451879
NCOA7-AS1,25.0,True,2445.0,0.013290802764486975,0.1375892180483446,1.5591111819401782
LINC00867,1088.0,True,936.0,0.5784157363104732,268.00993812707134,1.8845313915962831
RAP2C-AS1,10710.0,True,1908.0,5.69377990430622,11858.446604906849,1.6489343989218552
LINC00865,21075.0,True,1124.0,11.20414673046252,23257.245535986967,1.8191277412114777
MTND1P32,16603.0,True,652.0,8.82668793195109,21343.092287375428,1.9954429119217318
VIPR1-AS1,231.0,True,1739.0,0.12280701754385964,11.427995520716683,1.677908306831
MTCYBP3,5560.0,True,4798.0,2.9558745348219033,6231.798583822548,1.339304898676361
ELN-AS1,113.0,True,1150.0,0.06007442849548113,3.4245806327553248,1.8119175477932266
DPYD-IT1,779.0,True,3664.0,0.41414141414141414,105.35871480765095,1.428162498721461
KIAA1614-AS1,116.0,True,660.0,0.06166932482721956,3.57491827570215,1.9920980490000324
PRPS1P2,2232.0,True,4893.0,1.186602870813397,1105.7720757406087,1.3334482858378738
ATP11A-AS1,783.0,True,3183.0,0.41626794258373206,109.8346075537005,1.4746293858571007
ITGA6-AS1,1880.0,True,2723.0,0.9994683678894205,526.1792550363658,1.525287170301506
SEC1P,1259.0,True,2025.0,0.6693248272195641,398.40336172475025,1.6296459788342517
DDX3P1,18933.0,True,1674.0,10.065390749601276,28304.590402626487,1.691904400335453
LINC00327,970.0,True,1561.0,0.5156831472620946,242.73712092933815,1.7146105689931284
NALCN-AS1,72.0,True,4345.0,0.03827751196172249,1.1549170314567851,1.370913056399491
LINC01762,1330.0,True,4961.0,0.7070707070707071,373.01680636148717,1.3285334990853506
LINC00642,11469.0,True,1113.0,6.097288676236045,10036.581487325662,1.8224425754549973
XXYLT1-AS1,41.0,True,1119.0,0.021796916533758637,0.4255884715011254,1.8204616312676607
TRGV2,759.0,True,4949.0,0.40350877192982454,135.4493281075028,1.3292444836730841
UBE2FP3,8888.0,True,1133.0,4.7251461988304095,11787.805798183403,1.8162563100760314
CHRM3-AS2,17272.0,True,3715.0,9.182349813928761,16763.990135113734,1.4236956376902365
LINC01222,774.0,True,3071.0,0.41148325358851673,136.40505955410768,1.4873244603361109
KRT18P67,8.0,True,4075.0,0.004253056884635832,0.013811689119639847,1.3921908275409745
BTBD18,1094.0,True,3550.0,0.58160552897395,200.08708699537365,1.4392091524320885
STXBP5-AS1,3418.0,True,1459.0,1.8171185539606591,1810.6101536077458,1.734063799634042
ZNF197-AS1,5398.0,True,4341.0,2.8697501329080275,2480.1856855226397,1.3714181340257396
DNM3-IT1,2090.0,True,1532.0,1.1111111111111112,826.5966903073286,1.7203211455389553
B4GALT1-AS1,1842.0,True,2799.0,0.9792663476874003,950.5830805252976,1.5156228325455068
KRT8P39,639.0,True,2001.0,0.3397129186602871,93.00421459839153,1.632872808956828
KRT8P15,564.0,True,1778.0,0.29984051036682613,85.95153720859207,1.6710477566861672
CYP2T1P,5785.0,True,677.0,3.075491759702286,5378.061319239427,1.9850257116324137
PGAM1P11,141.0,True,1833.0,0.07496012759170653,5.387463096813601,1.6604286362544338
LINC01122,173273.0,True,4265.0,92.11749069643807,250844.03459284897,1.3776666625247085
LINC00284,1523.0,True,4396.0,0.8096757044125465,734.294608458606,1.3684324802046053
H2AFZP6,164.0,True,2065.0,0.08718766613503455,7.384947458911624,1.6215132448301388
LINC01136,8733.0,True,993.0,4.64274322169059,6966.9925124707315,1.8622859046678288
RPSAP13,309.0,True,3274.0,0.16427432216905902,25.847999592792423,1.4669174487325662
LINC02574,991.0,True,1089.0,0.5268474215842637,233.9940926623457,1.829578023926915
MTATP6P27,1171.0,True,2150.0,0.62254120148857,282.8074490707749,1.6086423104372938
LINC01114,979.0,True,1912.0,0.52046783625731,233.0912031852681,1.648209268438157
COX7BP2,1185.0,True,2708.0,0.6299840510366826,290.0736536699582,1.526637131523341
LINC01641,20.0,True,4370.0,0.01063264221158958,0.09669539742328095,1.3697014481557173
ZNF879,45529.0,True,1178.0,24.204678362573098,64312.63468022893,1.8045717384834417
