GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Epb41l1_5	30616	6012	8.320e-01	6.100e+00	3.228e+00	8.512e-01	8.594e-02	6.785e-01	9.340e-01
Epb41l3_5	27983	3233	6.061e-01	-1.159e+00	3.434e+00	-4.727e-01	6.533e-01	2.530e-01	5.165e-01
Epb41l4aos_1	4540	1526	2.755e-01	6.487e+00	3.801e+00	1.226e+00	2.039e-01	5.231e-01	7.819e-01
Epha5_2	20202	9339	6.391e-01	7.978e-01	4.620e+00	5.089e-01	1.982e+00	4.646e-02	2.654e-01
Epha5_3	8579	2124	6.143e-01	-3.649e+00	4.428e+00	1.946e+00	3.552e+00	7.693e-03	1.175e-01
Epha5_4	50176	8346	7.052e-01	-1.006e+00	3.834e+00	7.729e-01	1.512e+00	8.207e-02	3.208e-01
Epha5_6	48454	6624	7.107e-01	1.539e+00	3.215e+00	1.919e-01	1.113e-01	6.370e-01	8.912e-01
Epn1_1	2336	494	5.620e-01	-4.753e+00	3.567e+00	3.090e-01	1.005e-01	6.540e-01	9.057e-01
Epn2_8	24598	2318	6.639e-01	-4.800e+00	5.506e+00	-1.500e+00	1.172e+00	1.257e-01	3.795e-01
Epn2_10	6327	1316	5.565e-01	-3.049e+00	4.798e+00	-6.388e-01	-2.944e-01	1.000e+00	1.000e+00
Epn2_14	21459	759	6.474e-01	-7.538e+00	5.118e+00	1.194e+00	6.155e-01	2.672e-01	5.319e-01
Eps15_7	41467	4621	6.088e-01	4.553e+00	5.541e+00	1.413e+00	1.775e+00	5.952e-02	2.838e-01
Eps15l1_5	15441	2158	5.785e-01	1.200e-01	6.193e+00	-1.466e+00	1.524e+00	8.080e-02	3.208e-01
Eps15l1_6	15682	2399	5.868e-01	-1.512e+00	5.945e+00	1.651e+00	1.514e-02	8.619e-01	1.000e+00
Eps15l1_7	6286	2309	5.427e-01	2.663e+00	6.897e+00	-3.264e+00	2.747e+00	1.909e-02	1.752e-01
Eps15l1_8	15641	2476	5.868e-01	-1.005e+00	6.423e+00	1.553e+00	3.931e-01	3.753e-01	6.429e-01
Erc1_5	19230	1084	5.785e-01	-4.992e+00	5.060e+00	-4.244e-01	3.447e-01	4.064e-01	6.738e-01
Erc2_1	5553	1036	5.124e-01	2.742e+00	4.843e+00	7.639e-01	5.320e-01	3.023e-01	5.754e-01
Erc2_2	4506	256	4.793e-01	2.265e+00	3.689e+00	-4.111e-01	1.783e-01	5.504e-01	8.090e-01
Erc2_4	68721	1054	6.501e-01	-2.422e+00	4.442e+00	-1.580e-01	-2.637e-02	1.000e+00	1.000e+00
Erc2_6	139819	1332	9.669e-01	-1.765e+00	3.087e+00	2.641e-01	-3.896e-01	1.000e+00	1.000e+00
Erc2_8	144686	13160	9.614e-01	-2.557e+00	2.524e+00	9.184e-01	3.773e+00	6.011e-03	1.050e-01
Ercc8_5	5101	1740	2.810e-01	1.007e+00	7.835e+00	-3.652e+00	9.390e-01	1.706e-01	4.216e-01
Ercc8_nmdSE_1	4048	1722	2.645e-01	-3.947e+00	7.947e+00	2.310e+00	5.781e-01	2.822e-01	5.495e-01
Erh_1	53690	10291	9.945e-01	-1.748e+00	1.405e+00	2.702e-02	-7.578e-01	1.000e+00	1.000e+00
Eri3_2	21699	10898	7.355e-01	6.099e+00	5.193e+00	2.163e-01	-1.157e+00	1.000e+00	1.000e+00
Eri3_5	12837	2036	7.245e-01	3.021e+00	4.091e+00	5.923e-01	1.821e-01	5.462e-01	8.049e-01
Erlin2_1	8840	1841	6.942e-01	-6.058e+00	4.201e+00	-8.051e-01	3.750e-01	3.865e-01	6.543e-01
