mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
Zfp217,6553.0,True,1944.0,5.47451963241437,1556.252903719723,1.494303499280496
Rgs14,1198.0,True,1829.0,1.0008354218880535,215.84030030483123,1.5171303176244788
Sema5b,206820.0,True,70.0,172.78195488721803,189374.5368647371,3.5234073247390136
Acvr2a,290999.0,True,1182.0,243.10693400167085,141848.26029468878,1.6758379905462941
Pld4,1772.0,True,852.0,1.4803675856307434,429.2030005336641,1.8144571474994355
Cd177,5818.0,True,242.0,4.860484544695071,2629.387709798465,2.5004873630968363
Gpr17,1047.0,True,746.0,0.87468671679198,338.84548746448064,1.8810725494868674
Bhlha15,639.0,True,956.0,0.5338345864661654,159.80759172177937,1.765274111883297
Mrgpra6,2193.0,True,573.0,1.832080200501253,2076.3271305353683,2.0125852602004954
Ezr,10667.0,True,415.0,8.911445279866333,3865.3466665549045,2.169012385026612
Epha3,24743.0,True,1941.0,20.670843776106935,6638.543739504838,1.4951100399282247
Robo2,226170.0,True,500.0,188.94736842105263,125588.8860235874,2.0789846663790166
Pbx1,1229080.0,True,1239.0,1026.8003341687552,1344731.843879487,1.655836712332361
St6galnac3,40305.0,True,260.0,33.67167919799499,18471.115359468906,2.452578670249272
Adarb2,169792.0,True,1701.0,141.84795321637426,64464.34308318176,1.545839048808829
Gan,22802.0,True,1361.0,19.049289891395155,6584.704090214388,1.6181646417345013
Dlg2,167801.0,True,1489.0,140.18462823725983,65260.78110130398,1.5885518184924547
Pcdh15,46320.0,True,1618.0,38.69674185463659,13791.181368974278,1.5615777158673319
Zfp112,14190.0,True,1461.0,11.854636591478696,3876.27651067468,1.5949738854679074
Jun,227518.0,True,132.0,190.07351712614872,179076.67101211782,2.9414507134567187
Junb,106879.0,True,41.0,89.2890559732665,100341.66052394085,4.254442130859836
Lamb2,2168.0,True,786.0,1.8111946532999164,600.2017809294698,1.8544280271212266
Hrh1,12770.0,True,376.0,10.668337510442774,4820.240242467931,2.2237052576998124
Cntn2,141958.0,True,587.0,118.59482038429407,66747.07231428627,2.0039550312528784
Sv2b,165684.0,True,708.0,138.41604010025063,77108.91372243318,1.9074131663263225
Jam2,32500.0,True,516.0,27.151211361737676,12221.024774869169,2.0645624883728275
Yap1,2320.0,True,860.0,1.9381787802840433,594.7319608944323,1.811966224095697
Spag16,9937.0,True,1283.0,8.301587301587302,2710.485056006795,1.6444176348020383
Fes,904.0,True,1337.0,0.7552213868003341,222.14822731298707,1.6234233391504918
Cdh22,86641.0,True,1882.0,72.38178780284044,27800.52050415895,1.5060358284095372
Prx,4418.0,True,1431.0,3.690893901420217,1091.1635708557906,1.6039252981667607
Aldh1a1,2486795.0,True,1.0,2077.5229741019216,60168387.93028279,16.450374601487443
Zfp952,86336.0,True,1194.0,72.12698412698413,30734.66446355577,1.6717318515378268
Adamts19,2383.0,True,1206.0,1.990810359231412,664.0776746772169,1.6674791856682285
Kdm3a,76878.0,True,1689.0,64.22556390977444,24857.139713833076,1.5472435031800027
Tcf4,410405.0,True,1136.0,342.8613199665831,234549.84028354054,1.6942865555262134
Ier2,57522.0,True,378.0,48.05513784461153,25336.871539215932,2.2191040349246625
Zfp472,19685.0,True,1444.0,16.4452798663325,5565.942864407396,1.5995090986034695
Plxnb1,156072.0,True,513.0,130.3859649122807,77491.16361556064,2.067028651721274
Nebl,50839.0,True,1005.0,42.47201336675021,17190.542067264036,1.7451219543683092
Sox14,1417.0,True,1403.0,1.1837928153717627,488.6702053349651,1.6090621065281736
Camk2d,253322.0,True,1765.0,211.63074352548037,107304.06922126946,1.529544502467469
Txlna,265907.0,True,1091.0,222.14452798663325,128048.31605071767,1.7100314842750997
Sh2d4a,877.0,True,1433.0,0.7326649958228906,229.01208427981885,1.6030721439583548
Shisa6,37893.0,True,1573.0,31.656641604010026,11027.927993059573,1.569732850914245
Cnn3,380381.0,True,431.0,317.7786131996658,266189.3639903829,2.1521771454245293
Zfp14,57334.0,True,1147.0,47.898078529657475,19212.956158512225,1.6894001002714112
Tdrd9,1563.0,True,917.0,1.305764411027569,359.4649583825785,1.783648885145116
Ndst1,173482.0,True,1326.0,144.93065998329155,69835.53114111924,1.629458126935873
Spock3,190215.0,True,624.0,158.90977443609023,95281.35974551765,1.975823469740745
Cthrc1,54360.0,True,953.0,45.41353383458647,18829.802927050067,1.7657125681726689
Fgfr3,2524.0,True,748.0,2.108604845446951,681.0316733863644,1.8803084858846963
Slc30a7,79265.0,True,1048.0,66.21971595655806,28732.310380186813,1.7258622394408794
Vsnl1,286489.0,True,820.0,239.33918128654972,151888.91328795793,1.8331283942950904
Zfp867,58734.0,True,1476.0,49.067669172932334,18640.178527422235,1.592216623784094
Sh3bp2,78692.0,True,1921.0,65.74101921470343,24733.797421368363,1.4983121368326897
Pm20d2,5223.0,True,662.0,4.363408521303258,1669.1395629542083,1.945178829821786
Irs4,43910.0,True,524.0,36.68337510442774,17015.8837785657,2.049589295711676
Emcn,2276.0,True,1090.0,1.9014202172096908,2288.9568290849757,1.7105196746182862
Zscan22,36396.0,True,1883.0,30.406015037593985,10112.003910277366,1.5059207532960646
Zfp182,24357.0,True,770.0,20.348370927318296,8154.842583046246,1.8679418011457287
Txk,707.0,True,1443.0,0.5906432748538012,122.87743746210566,1.60014083488713
Zfp174,19463.0,True,880.0,16.259816207184628,6194.3530076585,1.802171171673739
Nt5c1a,13682.0,True,932.0,11.430242272347536,4146.459385643597,1.7749977566161683
Cntn1,681894.0,True,657.0,569.6691729323309,595443.8310973924,1.9527404045959487
Smyd1,1089.0,True,426.0,0.9097744360902256,272.9935247818543,2.158079665038076
Pdlim1,444.0,True,1793.0,0.37092731829573933,55.02784972464607,1.524721286732056
Rab39,6922.0,True,1785.0,5.782790309106098,1685.8106400337522,1.5262565047394154
Gabra5,65222.0,True,1562.0,54.48788638262322,20846.53601534494,1.5732794513428738
Zfp811,133239.0,True,1965.0,111.31077694235589,45905.0504941283,1.4907342939709092
Zfp101,38404.0,True,621.0,32.083542188805346,14105.733817542741,1.9778284967698931
