GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Srsf6_1	39825	9284	9.663e-01	-3.884e+00	3.979e+00	3.371e+00	2.288e+01	1.335e-11	7.007e-10
Srsf6_nmdSE_1	44238	13697	9.663e-01	-4.044e+00	4.386e+00	3.763e+00	2.482e+01	1.847e-12	1.321e-10
Srsf7_3	152222	7796	9.870e-01	2.651e+00	2.146e+00	-7.668e-01	4.688e+00	2.200e-03	1.332e-02
Srsf7_nmdSE_1	64972	30398	9.870e-01	-1.282e+00	2.553e+00	1.930e+00	2.169e+01	4.519e-11	2.223e-09
Srsf9_2	10762	1226	4.948e-01	-5.585e+00	4.139e+00	3.539e+00	8.128e+00	5.534e-05	7.382e-04
Srsf9_nmdSE_1	8589	1693	4.922e-01	-7.606e+00	4.799e+00	4.587e+00	1.070e+01	3.734e-06	8.265e-05
Srsf9_nmdSE_2	11038	1502	4.974e-01	-5.848e+00	5.123e+00	4.416e+00	8.813e+00	2.688e-05	3.991e-04
Ssbp2_5	20583	7965	8.005e-01	7.362e-01	3.522e+00	9.895e-01	1.816e+00	5.665e-02	1.438e-01
Ssbp3_3	3475	1513	4.482e-01	5.780e+00	4.625e+00	-3.089e+00	4.637e+00	2.324e-03	1.386e-02
Ssbp4_5	8335	3118	7.228e-01	8.490e+00	2.675e+00	-5.436e+00	2.913e+01	2.289e-14	1.801e-12
St7_2	7508	2320	6.088e-01	5.024e+00	4.166e+00	1.114e-01	-1.782e-01	1.000e+00	1.000e+00
St7_10	6584	2270	5.596e-01	-4.853e+00	5.743e+00	2.594e+00	4.230e+00	3.630e-03	1.944e-02
St7l_8	3355	488	3.057e-01	-8.032e+00	4.152e+00	1.734e+00	5.250e-01	3.055e-01	4.379e-01
Stag2_1	3872	948	3.342e-01	6.513e-01	5.628e+00	7.889e-01	-1.068e+00	1.000e+00	1.000e+00
Stau2_8	8912	1790	7.228e-01	-4.867e+00	4.179e+00	5.996e-01	8.101e-01	2.031e-01	3.330e-01
Stk16_3	16731	6228	6.788e-01	6.946e+00	2.986e+00	-9.863e-01	3.750e-01	3.865e-01	5.226e-01
Stk38_5	5872	2064	4.922e-01	4.775e+00	3.776e+00	-2.585e+00	5.699e+00	7.349e-04	6.153e-03
Stmn4_1	49964	16366	9.352e-01	-2.216e+00	1.696e+00	7.925e-01	8.863e+00	2.550e-05	3.936e-04
Stmn4_2	122299	8778	9.534e-01	-2.659e+00	1.568e+00	2.921e-01	1.605e+00	7.315e-02	1.693e-01
Stoml2_5	11688	4987	6.269e-01	5.018e+00	4.552e+00	-5.111e-01	1.254e+00	1.133e-01	2.262e-01
Stra13_2	4677	3053	5.933e-01	-4.387e+00	6.618e+00	1.898e+00	-8.789e-03	1.000e+00	1.000e+00
Stra13_3	4329	2429	5.933e-01	-4.225e+00	6.618e+00	1.102e+00	8.186e-01	2.007e-01	3.330e-01
Stra13_6	4065	2165	5.933e-01	3.509e+00	4.901e+00	-2.049e+00	1.902e+00	5.112e-02	1.355e-01
Stra13_9	3070	1446	5.699e-01	-4.237e+00	5.826e+00	1.431e+00	1.406e+00	9.359e-02	1.992e-01
Strada_5	2611	366	4.145e-01	-2.385e+00	4.311e+00	6.287e+00	9.626e+00	1.146e-05	2.097e-04
Strada_6	7667	3381	3.731e-01	6.180e+00	3.437e+00	2.815e+00	3.615e+00	7.168e-03	3.398e-02
Stradb_3	17969	9485	6.451e-01	5.417e+00	4.392e+00	1.713e+00	1.405e+00	9.365e-02	1.992e-01
Stx18_1	4323	1060	3.109e-01	3.762e+00	5.765e+00	3.738e+00	2.710e+00	1.991e-02	7.162e-02
Stx3_5	1690	879	2.435e-01	8.936e+00	2.571e+00	-4.753e+00	4.950e+00	1.653e-03	1.084e-02
Stx3_nmdSE_1	1407	401	2.383e-01	-5.956e+00	4.974e+00	1.569e+00	1.448e-01	5.904e-01	7.364e-01
Stxbp1_2	179294	4964	9.845e-01	-6.977e+00	2.858e+00	1.773e+00	8.838e+00	2.619e-05	3.964e-04
Sugp2_10	9154	1649	7.332e-01	7.141e-01	4.418e+00	-4.486e+00	2.027e+01	1.928e-10	8.431e-09
Sulf1_3	6450	2163	3.886e-01	4.298e+00	2.739e+00	5.660e-01	4.048e-01	3.682e-01	5.031e-01
Sumf2_2	17422	3561	4.715e-01	5.764e+00	4.882e+00	1.612e+00	2.126e+00	3.921e-02	1.118e-01
Sumf2_3	3262	2120	3.523e-01	6.383e+00	4.186e+00	2.662e-01	6.367e-01	2.591e-01	3.899e-01
Sumf2_nmdSE_1	2944	444	3.653e-01	-7.378e+00	3.905e+00	1.989e+00	1.182e+00	1.241e-01	2.399e-01
Sun2_2	17008	7166	5.596e-01	5.270e+00	4.092e+00	2.328e+00	2.575e+00	2.324e-02	7.937e-02
Supt4a_nmdSE_1	16436	4688	8.238e-01	-7.595e+00	3.807e+00	-1.598e-01	8.291e-01	1.978e-01	3.306e-01
Supt5_5	5269	795	7.772e-01	4.902e+00	3.098e+00	-6.224e+00	4.753e+01	1.845e-22	7.259e-20
Supt6_3	4002	543	4.585e-01	-8.367e+00	4.053e+00	3.069e+00	4.001e+00	4.671e-03	2.418e-02
Surf1_4	4737	1278	5.181e-01	6.017e+00	2.651e+00	-3.011e+00	4.399e+00	3.016e-03	1.708e-02
Surf1_nmdSE_1	5781	1722	5.259e-01	4.792e+00	4.029e+00	-2.096e+00	3.645e+00	6.938e-03	3.350e-02
Suv420h1_3	5272	543	5.777e-01	-5.363e+00	3.574e+00	-1.097e+00	-1.478e-01	1.000e+00	1.000e+00
Suv420h1_5	7154	3900	5.959e-01	6.806e+00	3.588e+00	-2.990e-01	-3.628e-01	1.000e+00	1.000e+00
Svop_1	12394	2223	8.264e-01	-5.739e+00	3.740e+00	-5.784e-01	1.432e+00	9.062e-02	1.968e-01
Syt1_3	29401	3847	7.902e-01	-6.786e+00	3.070e+00	2.151e+00	8.665e+00	3.142e-05	4.579e-04
Szrd1_1	7516	1027	5.155e-01	-1.000e+00	2.847e+00	2.288e+00	5.575e+00	8.401e-04	6.747e-03
Tacc2_4	7024	1204	6.554e-01	-7.688e+00	4.074e+00	6.942e+00	4.253e+01	2.902e-20	5.710e-18
Tada3_1	10300	1725	5.699e-01	4.455e+00	4.397e+00	-1.280e+00	2.443e+00	2.706e-02	8.801e-02
Tada3_2	2606	1040	5.363e-01	6.246e+00	2.929e+00	5.176e-01	-2.168e-01	1.000e+00	1.000e+00
Taf6l_3	2123	676	2.694e-01	6.970e+00	4.118e+00	-3.877e+00	5.707e+00	7.292e-04	6.153e-03
Tank_6	2489	573	3.135e-01	-7.334e+00	5.225e+00	2.146e+00	2.198e+00	3.602e-02	1.062e-01
Tank_7	3020	544	2.876e-01	-7.849e+00	4.626e+00	3.203e+00	2.891e+00	1.618e-02	6.037e-02
Tars2_5	6581	3889	3.731e-01	6.496e+00	4.614e+00	3.319e-01	4.585e-01	3.383e-01	4.695e-01
Tasp1_2	2954	1287	2.798e-01	3.530e+00	5.116e+00	4.586e+00	5.142e+00	1.342e-03	9.182e-03
