	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5	scvi_6	scvi_7	scvi_8	scvi_9	scvi_10
SRR6531755	1.205184	0.43714857	-0.017889202	-1.0163323	-0.392707	0.7523901	0.44298035	-0.0057756305	-0.41257438	-1.0143594
SRR6531756	0.78002167	0.27828178	-0.72868323	-0.90419567	0.72837377	3.1509662	-1.7494183	-0.1949405	0.5714211	0.45084506
SRR6531757	0.826823	0.24621591	-0.71621776	-0.8663127	0.74414074	3.0730772	-1.753268	-0.1815427	0.5465527	0.44841498
SRR6531758	0.6443566	-0.26406956	-0.032070994	-1.040695	-0.7586465	1.0003405	-0.015976876	0.058404326	-0.82707626	-1.4519104
SRR6531760	0.6901644	-0.2619912	0.007233739	-1.0088587	-0.79176706	1.0683918	-0.023977399	-0.03892106	-0.72422445	-1.5290834
SRR6531761	0.6176002	0.5333527	-0.49361706	-0.9669561	-0.47642583	0.43008417	-1.3117731	0.42590892	1.129801	-0.99054086
SRR6531762	0.62341547	0.544994	-0.5285827	-0.92348236	-0.46247882	0.563052	-1.2981656	0.40406978	1.1335413	-1.0167633
SRR6531763	-1.1482029	-0.63641906	2.0877745	1.0461829	1.9340358	0.076310635	-1.8033814	0.47592703	2.3807027	-0.81166124
SRR6531764	-1.0496523	-0.63019437	2.051442	1.0195838	1.8917825	0.030120373	-1.7638247	0.4497893	2.3684564	-0.8294423
SRR6531765	-4.310453	1.9781862	-0.021680832	2.4807534	-0.24334633	0.9143186	-2.005531	-0.7546472	1.5420887	-1.4714698
SRR6531766	-4.2371516	1.9024631	0.0069904327	2.4581957	-0.20831901	0.90287215	-1.9446404	-0.75982064	1.511462	-1.482748
SRR6531767	0.69046766	0.45805252	-0.23689866	-0.91870886	-1.2058818	1.2979147	-0.8545734	0.25365627	0.20828491	-0.9532707
SRR6531768	0.6412332	0.4911701	-0.22988147	-0.937299	-1.1215751	1.3230126	-0.7864329	0.31949085	0.277983	-1.0258266
SRR6531769	-0.6713262	1.0455528	0.107711256	1.1094762	-0.45452446	1.3085942	-1.913837	-0.99287814	-1.551492	0.82747877
SRR6531772	-0.67489177	1.0828592	0.17058694	1.1075013	-0.41698772	1.2050605	-1.8350449	-1.0213466	-1.5187794	0.8457801
SRR6531775	-0.5981857	0.9994885	0.72983027	0.48747754	-0.36592567	0.06621832	0.01756528	-1.0526078	-1.7258344	0.07994801
SRR6531776	-0.59171015	0.98955023	0.72798353	0.49126065	-0.36728412	-0.0070264935	-0.013982892	-1.0560954	-1.7277977	0.08605638
SRR6531777	0.5525733	1.61083	0.91210437	0.9544538	0.41360426	1.4819341	-0.6836826	0.83751374	-1.1225499	-0.4937377
SRR6531778	0.54490256	1.5885998	0.9409213	1.00246	0.42635417	1.5244193	-0.64553386	0.71832454	-1.1124374	-0.51652175
SRR6531779	0.20591491	-0.32633466	-0.4042598	-1.3433287	-0.6813829	-0.40745848	0.52586585	-0.16092974	0.42082065	-1.5320989
SRR6531780	0.2435767	-0.33548862	-0.48804975	-1.3433651	-0.77623403	-0.29318446	0.44107676	-0.20442945	0.47270864	-1.576506
SRR6531781	0.055736125	0.4357866	-1.1317172	-1.16835	-1.3415747	-0.6677082	-0.23035678	0.61272335	0.7236572	-2.0172298
SRR6531782	0.78520507	0.63144815	0.5821258	-1.1124568	0.97578144	0.06969118	-0.14727342	0.30595088	-0.51309764	-0.29667634
SRR6531783	0.1483396	0.3634653	-1.0654321	-1.1529591	-1.3454494	-0.6542373	-0.20457804	0.6248931	0.63418084	-1.9849883
SRR6531784	-0.4716788	1.0554543	-0.18264598	0.23590505	-0.088041365	-0.16165161	-0.9150277	-0.7580517	-1.6850533	0.7042519
SRR6531785	-0.47697598	1.0410299	-0.1507802	0.20196259	-0.057331443	-0.30991894	-0.80062896	-0.7116191	-1.6841537	0.6481842
SRR6531786	-0.09434891	0.9304342	-1.0844066	0.6808177	-1.2158247	-0.14664915	1.5747006	0.27195185	-0.75727683	-1.2874197
SRR6531787	-0.07246363	0.8739196	-1.0077357	0.65570045	-1.1678103	-0.18502295	1.5604856	0.22920328	-0.7020906	-1.1960069
SRR6531788	0.14405775	2.008759	0.79150164	0.6426085	0.9847505	0.1933214	0.10093042	-0.5001076	-1.3761663	-0.7443564
SRR6531789	0.14499265	2.020266	0.7441684	0.7584716	0.9218817	0.25217187	0.04896359	-0.6780712	-1.313526	-0.8363117
SRR6531790	-0.24857742	1.4888945	0.18261921	0.28233683	-0.4574692	-0.022869647	-0.40139133	-0.2733776	-1.4944983	-0.6709033
SRR6531791	-0.25035292	1.5510606	0.2189318	0.33240676	-0.46699277	0.043383956	-0.42127115	-0.38026625	-1.4149299	-0.69141954
SRR6531792	0.66541165	0.4613518	1.4113022	0.6332878	-0.1578809	0.25895566	0.32273346	-0.51233476	-1.7055392	-0.36960316
SRR6531793	0.77726626	0.678325	0.56028354	-1.1092532	1.0301706	0.087905884	-0.22931445	0.3729779	-0.462202	-0.26164722
SRR6531794	0.62828916	0.50460947	1.4133164	0.6267259	-0.17930263	0.2992444	0.33447105	-0.53499943	-1.6511188	-0.39844346
SRR6531795	-0.31765097	0.4433701	-0.8369901	1.0124693	-2.1325645	-0.42148614	1.0958188	0.64679754	-0.13171297	-0.4920119
SRR6531796	-0.32116622	0.43655348	-0.78950334	1.0212052	-2.1442385	-0.41796172	1.115963	0.6126093	-0.1265114	-0.5459212
SRR6531797	-0.5835872	-1.3812072	-0.6277766	-1.3447118	0.36990607	-0.3832776	0.56317455	-1.1524541	-0.56746364	-1.1596557
SRR6531798	-0.57856303	-1.3304764	-0.53845954	-1.2814941	0.33480746	-0.39002818	0.49033147	-1.1397457	-0.6193846	-1.2166703
